LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(inteiro)
LINHA 2: IDENTIFIER(idade)
LINHA 2: DOLLAR($)
LINHA 3: KEYWORD(inteiro)
LINHA 3: IDENTIFIER(dependentes)
LINHA 3: DOLLAR($)
LINHA 4: KEYWORD(real)
LINHA 4: IDENTIFIER(salario)
LINHA 4: DOLLAR($)
LINHA 5: KEYWORD(real)
LINHA 5: IDENTIFIER(bonus)
LINHA 5: DOLLAR($)
LINHA 6: KEYWORD(real)
LINHA 6: IDENTIFIER(salario_final)
LINHA 6: DOLLAR($)
LINHA 7: KEYWORD(texto)
LINHA 7: IDENTIFIER(nome)
LINHA 7: DOLLAR($)
LINHA 8: IDENTIFIER(nome)
LINHA 8: ASSIGN(=)
LINHA 8: STRING(’Maria’)
LINHA 8: DOLLAR($)
LINHA 9: IDENTIFIER(idade)
LINHA 9: ASSIGN(=)
LINHA 9: INTEGER(35)
LINHA 9: DOLLAR($)
LINHA 10: IDENTIFIER(dependentes)
LINHA 10: ASSIGN(=)
LINHA 10: INTEGER(2)
LINHA 10: DOLLAR($)
LINHA 11: IDENTIFIER(salario)
LINHA 11: ASSIGN(=)
LINHA 11: REAL(4500,00)
LINHA 11: DOLLAR($)
LINHA 12: IDENTIFIER(bonus)
LINHA 12: ASSIGN(=)
LINHA 12: IDENTIFIER(salario)
LINHA 12: TIMES(*)
LINHA 12: REAL(0,10)
LINHA 12: DOLLAR($)
LINHA 13: IDENTIFIER(salario_final)
LINHA 13: ASSIGN(=)
LINHA 13: IDENTIFIER(salario)
LINHA 13: PLUS(+)
LINHA 13: IDENTIFIER(bonus)
LINHA 13: DOLLAR($)
LINHA 14: KEYWORD(mostre)
LINHA 14: LPAREN(()
LINHA 14: STRING(’Nome: ’)
LINHA 14: RPAREN())
LINHA 14: DOLLAR($)
LINHA 15: KEYWORD(mostre)
LINHA 15: LPAREN(()
LINHA 15: IDENTIFIER(nome)
LINHA 15: RPAREN())
LINHA 15: DOLLAR($)
LINHA 16: KEYWORD(mostre)
LINHA 16: LPAREN(()
LINHA 16: STRING(’Idade: ’)
LINHA 16: RPAREN())
LINHA 16: DOLLAR($)
LINHA 17: KEYWORD(mostre)
LINHA 17: LPAREN(()
LINHA 17: IDENTIFIER(idade)
LINHA 17: RPAREN())
LINHA 17: DOLLAR($)
LINHA 18: KEYWORD(mostre)
LINHA 18: LPAREN(()
LINHA 18: STRING(’Dependentes: ’)
LINHA 18: RPAREN())
LINHA 18: DOLLAR($)
LINHA 19: KEYWORD(mostre)
LINHA 19: LPAREN(()
LINHA 19: IDENTIFIER(dependentes)
LINHA 19: RPAREN())
LINHA 19: DOLLAR($)
LINHA 20: KEYWORD(mostre)
LINHA 20: LPAREN(()
LINHA 20: STRING(’Salario final: ’)
LINHA 20: RPAREN())
LINHA 20: DOLLAR($)
LINHA 21: KEYWORD(mostre)
LINHA 21: LPAREN(()
LINHA 21: IDENTIFIER(salario_final)
LINHA 21: RPAREN())
LINHA 21: DOLLAR($)
LINHA 23: IDENTIFIER(salario_final)
LINHA 23: ASSIGN(=)
LINHA 23: IDENTIFIER(salario_final)
LINHA 23: PLUS(+)
LINHA 23: LPAREN(()
LINHA 23: IDENTIFIER(dependentes)
LINHA 23: TIMES(*)
LINHA 23: REAL(150,00)
LINHA 23: RPAREN())
LINHA 23: DOLLAR($)
LINHA 24: KEYWORD(mostre)
LINHA 24: LPAREN(()
LINHA 24: STRING(’Salario com beneficio: ’)
LINHA 24: RPAREN())
LINHA 24: DOLLAR($)
LINHA 25: KEYWORD(mostre)
LINHA 25: LPAREN(()
LINHA 25: IDENTIFIER(salario_final)
LINHA 25: RPAREN())
LINHA 25: DOLLAR($)
LINHA 26: KEYWORD(fim)
