LINHA 1: KEYWORD(inicio)
LINHA 2: KEYWORD(inteiro)
LINHA 2: IDENTIFIER(estoque)
LINHA 2: DOLLAR($)
LINHA 3: KEYWORD(inteiro)
LINHA 3: IDENTIFIER(quantidade)
LINHA 3: DOLLAR($)
LINHA 4: KEYWORD(inteiro)
LINHA 4: IDENTIFIER(limite)
LINHA 4: DOLLAR($)
LINHA 5: KEYWORD(inteiro)
LINHA 5: IDENTIFIER(contador)
LINHA 5: DOLLAR($)
LINHA 6: KEYWORD(inteiro)
LINHA 6: IDENTIFIER(i)
LINHA 6: DOLLAR($)
LINHA 7: KEYWORD(real)
LINHA 7: IDENTIFIER(preco)
LINHA 7: DOLLAR($)
LINHA 8: KEYWORD(real)
LINHA 8: IDENTIFIER(total)
LINHA 8: DOLLAR($)
LINHA 9: KEYWORD(texto)
LINHA 9: IDENTIFIER(produto)
LINHA 9: DOLLAR($)
LINHA 10: IDENTIFIER(produto)
LINHA 10: ASSIGN(=)
LINHA 10: STRING(’Teclado’)
LINHA 10: DOLLAR($)
LINHA 11: IDENTIFIER(estoque)
LINHA 11: ASSIGN(=)
LINHA 11: INTEGER(25)
LINHA 11: DOLLAR($)
LINHA 12: IDENTIFIER(quantidade)
LINHA 12: ASSIGN(=)
LINHA 12: INTEGER(3)
LINHA 12: DOLLAR($)
LINHA 13: IDENTIFIER(limite)
LINHA 13: ASSIGN(=)
LINHA 13: INTEGER(10)
LINHA 13: DOLLAR($)
LINHA 14: IDENTIFIER(contador)
LINHA 14: ASSIGN(=)
LINHA 14: INTEGER(0)
LINHA 14: DOLLAR($)
LINHA 15: IDENTIFIER(preco)
LINHA 15: ASSIGN(=)
LINHA 15: REAL(149,90)
LINHA 15: DOLLAR($)
LINHA 16: IDENTIFIER(total)
LINHA 16: ASSIGN(=)
LINHA 16: REAL(0,0)
LINHA 16: DOLLAR($)
LINHA 22: KEYWORD(se)
LINHA 22: LBRACKET([)
LINHA 22: IDENTIFIER(estoque)
LINHA 22: GREATER_EQUAL(>=)
LINHA 22: IDENTIFIER(quantidade)
LINHA 22: RBRACKET(])
LINHA 22: KEYWORD(faz)
LINHA 22: LBRACE({)
LINHA 23: IDENTIFIER(estoque)
LINHA 23: ASSIGN(=)
LINHA 23: IDENTIFIER(estoque)
LINHA 23: MINUS(-)
LINHA 23: IDENTIFIER(quantidade)
LINHA 23: DOLLAR($)
LINHA 24: IDENTIFIER(total)
LINHA 24: ASSIGN(=)
LINHA 24: IDENTIFIER(quantidade)
LINHA 24: TIMES(*)
LINHA 24: IDENTIFIER(preco)
LINHA 24: DOLLAR($)
LINHA 25: KEYWORD(mostre)
LINHA 25: LPAREN(()
LINHA 25: STRING(’Produto: ’)
LINHA 25: RPAREN())
LINHA 25: DOLLAR($)
LINHA 26: KEYWORD(mostre)
LINHA 26: LPAREN(()
LINHA 26: IDENTIFIER(produto)
LINHA 26: RPAREN())
LINHA 26: DOLLAR($)
LINHA 27: KEYWORD(mostre)
LINHA 27: LPAREN(()
LINHA 27: STRING(’Valor total: ’)
LINHA 27: RPAREN())
LINHA 27: DOLLAR($)
LINHA 28: KEYWORD(mostre)
LINHA 28: LPAREN(()
LINHA 28: IDENTIFIER(total)
LINHA 28: RPAREN())
LINHA 28: DOLLAR($)
LINHA 29: RBRACE(})
LINHA 29: KEYWORD(senao)
LINHA 29: LBRACE({)
LINHA 30: KEYWORD(mostre)
LINHA 30: LPAREN(()
LINHA 30: STRING(’Estoque insuficiente.’)
LINHA 30: RPAREN())
